Latitude, Longitude, Air Quality
55.951208706254,-3.175649597268,178
55.951208706254,-3.175649597268,178
55.951208706254,-3.175649597268,178
55.951208706254,-3.175649597268,178
55.951208706254,-3.175649597268,178
55.951208706254,-3.175649597268,178
55.951208706254,-3.175649597268,178
55.951208706254,-3.175649597268,178
55.951208706254,-3.175649597268,178
55.951208706254,-3.175649597268,178
55.951208706254,-3.175649597268,178
55.951208706254,-3.175649597268,178
55.951208706254,-3.175649597268,178
55.951208706254,-3.175649597268,178
55.951208706254,-3.175649597268,178
55.951208706254,-3.175649597268,178
55.951208706254,-3.175649597268,178
55.951208706254,-3.175649597268,178
55.951208706254,-3.175649597268,178
55.951208706254,-3.175649597268,178
55.951208706254,-3.175649597268,178
55.951208706254,-3.175649597268,178
55.951208706254,-3.175649597268,179
55.951208706254,-3.175649597268,179
55.951208706254,-3.175649597268,179
55.951208706254,-3.175649597268,179
55.951208706254,-3.175649597268,179
55.951208706254,-3.175649597268,179
55.951208706254,-3.175649597268,179
55.951208706254,-3.175649597268,179
55.951208706254,-3.175649597268,179
55.951208706254,-3.175649597268,178
55.951208706254,-3.175649597268,178
55.951208706254,-3.175649597268,178
55.951208706254,-3.175649597268,178
55.951208706254,-3.175649597268,178
55.951208706254,-3.175649597268,178
55.951208706254,-3.1756495972678,178
55.951208706252,-3.1756495972561,178
55.951208706252,-3.1756495972561,178
55.951220829442,-3.1756065194289,179
55.951231757494,-3.1755574417249,180
55.951233837004,-3.175527982005,181
55.951237188336,-3.1754817135872,182
55.951195465293,-3.1752649975961,182
55.951176429342,-3.1752128841654,182
55.951164368328,-3.1751801174719,182
55.951155972678,-3.1751642808208,182
55.951117296736,-3.1751425001708,183
55.951093768625,-3.1751394532838,185
55.951025366146,-3.1751571378589,184
55.950959409706,-3.1751652536923,184
55.95092804414,-3.1751588396417,183
55.950898126159,-3.1751421815296,182
55.950822039399,-3.174822934963,185
55.950835946309,-3.1747682948378,185
55.950853837769,-3.1747155995491,185
55.950870175682,-3.1746749307364,186
55.950895100366,-3.1746277134475,186
55.950890473224,-3.17460710648,189
55.95088542773,-3.174592317022,189
55.950878393618,-3.1745703015399,190
55.950871546545,-3.1745427708605,189
55.950865232918,-3.1745181932421,190
55.950865220134,-3.1745040691203,190
55.950860787931,-3.1744991238658,192
55.950861318253,-3.1745104510958,192
55.950866209461,-3.1745233999001,192
55.950870620825,-3.1745292820808,192
55.950876259706,-3.1745345445887,193
55.950887014104,-3.1745503302698,193
55.950894155408,-3.1745636104869,194
55.95089570403,-3.1745700079302,194
55.950896820078,-3.1745757595602,195
55.950899019093,-3.174586193753,196
55.95090829335,-3.1745987681132,197
