#Location	Time	Pollutant	Actual	Estimated	Power
St Johns Road	8	NO2	111	88.11642651	11
St Johns Road	8	NO2	111	87.12667372	12
St Johns Road	8	NO2	111	86.1962969	13
St Johns Road	8	NO2	111	85.32954445	14
St Johns Road	8	NO2	111	84.52749017	15
St Johns Road	8	NO2	111	83.78925141	16
St Johns Road	8	NO2	111	83.11272377	17
St Johns Road	8	NO2	111	82.49504452	18
St Johns Road	8	NO2	111	81.93289764	19
St Johns Road	1	NOx	40	56.28571429	0
St Johns Road	1	NOx	40	68.55676436	1
St Johns Road	1	NOx	40	81.15611954	2
St Johns Road	1	NOx	40	91.86268981	3
St Johns Road	1	NOx	40	99.87993545	4
St Johns Road	1	NOx	40	105.5471019	5
St Johns Road	1	NOx	40	109.5386308	6
St Johns Road	1	NOx	40	112.4357729	7
St Johns Road	1	NOx	40	114.6366762	8
St Johns Road	1	NOx	40	116.3902333	9
St Johns Road	1	NOx	40	117.8466389	10
St Johns Road	1	NOx	40	119.0957943	11
St Johns Road	1	NOx	40	120.1919182	12
St Johns Road	1	NOx	40	121.1683586	13
St Johns Road	1	NOx	40	122.0462981	14
St Johns Road	1	NOx	40	122.8398283	15
St Johns Road	1	NOx	40	123.5588994	16
St Johns Road	1	NOx	40	124.2110303	17
St Johns Road	1	NOx	40	124.8022948	18
St Johns Road	1	NOx	40	125.337884	19
St Johns Road	2	NOx	44	50.14285714	0
St Johns Road	2	NOx	44	55.15012893	1
St Johns Road	2	NOx	44	59.73824967	2
St Johns Road	2	NOx	44	63.23273899	3
St Johns Road	2	NOx	44	65.57597825	4
St Johns Road	2	NOx	44	67.05289083	5
St Johns Road	2	NOx	44	67.97593246	6
St Johns Road	2	NOx	44	68.56936601	7
St Johns Road	2	NOx	44	68.97053712	8
St Johns Road	2	NOx	44	69.2584382	9
St Johns Road	2	NOx	44	69.47765258	10
St Johns Road	2	NOx	44	69.653406	11
St Johns Road	2	NOx	44	69.80016388	12
St Johns Road	2	NOx	44	69.92639049	13
St Johns Road	2	NOx	44	70.03717192	14
St Johns Road	2	NOx	44	70.13567173	15
St Johns Road	2	NOx	44	70.22394745	16
St Johns Road	2	NOx	44	70.30341321	17
St Johns Road	2	NOx	44	70.37510396	18
St Johns Road	2	NOx	44	70.43982702	19
St Johns Road	3	NOx	78	53.85714286	0
St Johns Road	3	NOx	78	58.7817455	1
St Johns Road	3	NOx	78	61.26137977	2
St Johns Road	3	NOx	78	61.56922776	3
St Johns Road	3	NOx	78	60.67014635	4
St Johns Road	3	NOx	78	59.37987862	5
St Johns Road	3	NOx	78	58.11850517	6
St Johns Road	3	NOx	78	57.02938444	7
St Johns Road	3	NOx	78	56.12764011	8
St Johns Road	3	NOx	78	55.38529786	9
St Johns Road	3	NOx	78	54.76748704	10
St Johns Road	3	NOx	78	54.24443414	11
St Johns Road	3	NOx	78	53.7937362	12
St Johns Road	3	NOx	78	53.39942437	13
St Johns Road	3	NOx	78	53.05034479	14
St Johns Road	3	NOx	78	52.73869665	15
St Johns Road	3	NOx	78	52.45892363	16
St Johns Road	3	NOx	78	52.20693847	17
St Johns Road	3	NOx	78	51.97960546	18
St Johns Road	3	NOx	78	51.77440597	19
St Johns Road	4	NOx	84	49.57142857	0
St Johns Road	4	NOx	84	52.70740712	1
St Johns Road	4	NOx	84	54.76419279	2
St Johns Road	4	NOx	84	55.62132508	3
St Johns Road	4	NOx	84	55.63663126	4
St Johns Road	4	NOx	84	55.22555432	5
St Johns Road	4	NOx	84	54.65828915	6
St Johns Road	4	NOx	84	54.06702268	7
St Johns Road	4	NOx	84	53.5043391	8
St Johns Road	4	NOx	84	52.98612704	9
St Johns Road	4	NOx	84	52.51380852	10
St Johns Road	4	NOx	84	52.08410443	11
St Johns Road	4	NOx	84	51.69282566	12
St Johns Road	4	NOx	84	51.33612028	13
St Johns Road	4	NOx	84	51.01073909	14
St Johns Road	4	NOx	84	50.71397383	15
