#Location	Time	Pollutant	Actual	Estimated	Power
Queen Street	6	NO2	44	44.57520065	4
Queen Street	6	NO2	44	44.96286078	5
Queen Street	6	NO2	44	45.27926734	6
Queen Street	6	NO2	44	45.51273095	7
Queen Street	6	NO2	44	45.67559892	8
Queen Street	6	NO2	44	45.78584763	9
Queen Street	6	NO2	44	45.85928218	10
Queen Street	6	NO2	44	45.90777115	11
Queen Street	6	NO2	44	45.93963692	12
Queen Street	6	NO2	44	45.96052379	13
Queen Street	6	NO2	44	45.97419465	14
Queen Street	6	NO2	44	45.98313531	15
Queen Street	6	NO2	44	45.98897984	16
Queen Street	6	NO2	44	45.99279946	17
Queen Street	6	NO2	44	45.99529538	18
Queen Street	6	NO2	44	45.99692621	19
Queen Street	7	NO2	55	56.57142857	0
Queen Street	7	NO2	55	61.25717681	1
Queen Street	7	NO2	55	63.34644441	2
Queen Street	7	NO2	55	64.18310767	3
Queen Street	7	NO2	55	64.57449834	4
Queen Street	7	NO2	55	64.78185432	5
Queen Street	7	NO2	55	64.8920705	6
Queen Street	7	NO2	55	64.94830861	7
Queen Street	7	NO2	55	64.97585074	8
Queen Street	7	NO2	55	64.98892005	9
Queen Street	7	NO2	55	64.99498226	10
Queen Street	7	NO2	55	64.99774903	11
Queen Street	7	NO2	55	64.99899719	12
Queen Street	7	NO2	55	64.99955555	13
Queen Street	7	NO2	55	64.99980378	14
Queen Street	7	NO2	55	64.99991362	15
Queen Street	7	NO2	55	64.99996206	16
Queen Street	7	NO2	55	64.99998337	17
Queen Street	7	NO2	55	64.99999272	18
Queen Street	7	NO2	55	64.99999681	19
Queen Street	8	NO2	69	78.85714286	0
Queen Street	8	NO2	69	82.37160113	1
Queen Street	8	NO2	69	82.75414882	2
Queen Street	8	NO2	69	82.44076481	3
Queen Street	8	NO2	69	82.33976699	4
Queen Street	8	NO2	69	82.43140634	5
Queen Street	8	NO2	69	82.57610743	6
Queen Street	8	NO2	69	82.7052652	7
Queen Street	8	NO2	69	82.80197474	8
Queen Street	8	NO2	69	82.8691526	9
Queen Street	8	NO2	69	82.91421594	10
Queen Street	8	NO2	69	82.94395202	11
Queen Street	8	NO2	69	82.96342758	12
Queen Street	8	NO2	69	82.976143	13
Queen Street	8	NO2	69	82.98443584	14
Queen Street	8	NO2	69	82.98984351	15
Queen Street	8	NO2	69	82.99337057	16
Queen Street	8	NO2	69	82.99567177	17
Queen Street	8	NO2	69	82.99717364	18
Queen Street	8	NO2	69	82.99815411	19
Queen Street	1	NOx	40	56.28571429	0
Queen Street	1	NOx	40	63.25684137	1
Queen Street	1	NOx	40	65.43915455	2
Queen Street	1	NOx	40	63.89328682	3
Queen Street	1	NOx	40	60.91086063	4
Queen Street	1	NOx	40	57.94730586	5
Queen Street	1	NOx	40	55.54637611	6
Queen Street	1	NOx	40	53.7752913	7
Queen Street	1	NOx	40	52.53142872	8
Queen Street	1	NOx	40	51.68169956	9
Queen Street	1	NOx	40	51.11067075	10
Queen Street	1	NOx	40	50.7307856	11
Queen Street	1	NOx	40	50.47966398	12
Queen Street	1	NOx	40	50.31433631	13
Queen Street	1	NOx	40	50.20577868	14
Queen Street	1	NOx	40	50.13462007	15
Queen Street	1	NOx	40	50.08802874	16
Queen Street	1	NOx	40	50.05754547	17
Queen Street	1	NOx	40	50.03761088	18
Queen Street	1	NOx	40	50.02457879	19
Queen Street	2	NOx	52	49	0
Queen Street	2	NOx	52	53.32377427	1
Queen Street	2	NOx	52	55.49030062	2
Queen Street	2	NOx	52	56.06090264	3
Queen Street	2	NOx	52	55.88682053	4
Queen Street	2	NOx	52	55.48570692	5
Queen Street	2	NOx	52	55.08539072	6
Queen Street	2	NOx	52	54.76024159	7
Queen Street	2	NOx	52	54.51923831	8
Queen Street	2	NOx	52	54.34911838	9
Queen Street	2	NOx	52	54.23240429	10
Queen Street	2	NOx	52	54.1537147	11
Queen Street	2	NOx	52	54.10124212	12
Queen Street	2	NOx	52	54.0664983	13
Queen Street	2	NOx	52	54.04359866	14
Queen Street	2	NOx	52	54.02855074	15
Queen Street	2	NOx	52	54.01868185	16
Queen Street	2	NOx	52	54.01221792	17
Queen Street	2	NOx	52	54.00798777	18
Queen Street	2	NOx	52	54.00522103	19
Queen Street	3	NOx	119	48	0
Queen Street	3	NOx	119	52.26546995	1
Queen Street	3	NOx	119	54.24379211	2
Queen Street	3	NOx	119	55.16785934	3
Queen Street	3	NOx	119	55.74299935	4
Queen Street	3	NOx	119	56.15203642	5
Queen Street	3	NOx	119	56.43892709	6
Queen Street	3	NOx	119	56.63299589	7
Queen Street	3	NOx	119	56.76115602	8
Queen Street	3	NOx	119	56.84479077	9
Queen Street	3	NOx	119	56.89911911	10
Queen Street	3	NOx	119	56.93437681	11
Queen Street	3	NOx	119	56.957272	12
Queen Street	3	NOx	119	56.97215585	13
Queen Street	3	NOx	119	56.98184261	14
Queen Street	3	NOx	119	56.98815318	15
Queen Street	3	NOx	119	56.99226747	16
Queen Street	3	NOx	119	56.99495147	17
Queen Street	3	NOx	119	56.99670316	18
Queen Street	3	NOx	119	56.99784675	19
Queen Street	4	NOx	73	51.14285714	0
Queen Street	4	NOx	73	52.76949382	1
Queen Street	4	NOx	73	51.67636585	2
Queen Street	4	NOx	73	50.10461369	3
Queen Street	4	NOx	73	49.03518083	4
Queen Street	4	NOx	73	48.47106538	5
Queen Street	4	NOx	73	48.20609013	6
Queen Street	4	NOx	73	48.08841574	7
Queen Street	4	NOx	73	48.03757419	8
Queen Street	4	NOx	73	48.01589967	9
Queen Street	4	NOx	73	48.00671711	10
Queen Street	4	NOx	73	48.00283702	11
Queen Street	4	NOx	73	48.00119873	12
Queen Street	4	NOx	73	48.00050686	13
Queen Street	4	NOx	73	48.00021449	14
Queen Street	4	NOx	73	48.00009084	15
Queen Street	4	NOx	73	48.0000385	16
Queen Street	4	NOx	73	48.00001633	17
Queen Street	4	NOx	73	48.00000693	18
Queen Street	4	NOx	73	48.00000294	19
Queen Street	5	NOx	109	74.14285714	0
Queen Street	5	NOx	109	69.57302488	1
Queen Street	5	NOx	109	59.65017155	2
Queen Street	5	NOx	109	51.31868533	3
Queen Street	5	NOx	109	46.40069737	4
Queen Street	5	NOx	109	43.95723785	5
Queen Street	5	NOx	109	42.84436076	6
Queen Street	5	NOx	109	42.3590096	7
Queen Street	5	NOx	109	42.15171235	8
Queen Street	5	NOx	109	42.06399597	9
Queen Street	5	NOx	109	42.02700514	10
Queen Street	5	NOx	109	42.01141171	11
Queen Street	5	NOx	109	42.00483112	12
Queen Street	5	NOx	109	42.00204916	13
Queen Street	5	NOx	109	42.00087077	14
Queen Street	5	NOx	109	42.00037065	15
Queen Street	5	NOx	109	42.00015801	16
Queen Street	5	NOx	109	42.00006745	17
Queen Street	5	NOx	109	42.00002882	18
Queen Street	5	NOx	109	42.00001233	19
Queen Street	6	NOx	82	108.1428571	0
Queen Street	6	NOx	82	102.2520164	1
Queen Street	6	NOx	82	87.45795761	2
Queen Street	6	NOx	82	74.80326618	3
Queen Street	6	NOx	82	67.33873257	4
Queen Street	6	NOx	82	63.67703124	5
Queen Street	6	NOx	82	62.05348581	6
Queen Street	6	NOx	82	61.37875993	7
Queen Street	6	NOx	82	61.11390529	8
Queen Street	6	NOx	82	61.01760709	9
Queen Street	6	NOx	82	60.98747818	10
Queen Street	6	NOx	82	60.98167575	11
Queen Street	6	NOx	82	60.98374372	12
Queen Street	6	NOx	82	60.98756688	13
Queen Street	6	NOx	82	60.99110896	14
Queen Street	6	NOx	82	60.99386504	15
Queen Street	6	NOx	82	60.99585307	16
Queen Street	6	NOx	82	60.99723153	17
Queen Street	6	NOx	82	60.99816602	18
Queen Street	6	NOx	82	60.99879101	19
Queen Street	7	NOx	304	230.2857143	0
Queen Street	7	NOx	304	220.9962709	1
Queen Street	7	NOx	304	192.0169561	2
Queen Street	7	NOx	304	165.321875	3
Queen Street	7	NOx	304	148.1896326	4
Queen Street	7	NOx	304	138.7559171	5
Queen Street	7	NOx	304	133.8355878	6
Queen Street	7	NOx	304	131.2728347	7
Queen Street	7	NOx	304	129.9027067	8
Queen Street	7	NOx	304	129.1421321	9
Queen Street	7	NOx	304	128.7032595	10
Queen Street	7	NOx	304	128.441262	11
Queen Street	7	NOx	304	128.2805782	12
Queen Street	7	NOx	304	128.1800395	13
Queen Street	7	NOx	304	128.1162361	14
Queen Street	7	NOx	304	128.0753496	15
Queen Street	7	NOx	304	128.0489765	16
Queen Street	7	NOx	304	128.0318905	17
Queen Street	7	NOx	304	128.0207892	18
Queen Street	7	NOx	304	128.0135627	19
Queen Street	8	NOx	329	371.7142857	0
Queen Street	8	NOx	329	351.6008179	1
Queen Street	8	NOx	329	291.0663921	2
Queen Street	8	NOx	329	235.3810871	3
Queen Street	8	NOx	329	200.0873295	4
Queen Street	8	NOx	329	181.250939	5
Queen Street	8	NOx	329	171.948846	6
Queen Street	8	NOx	329	167.4748701	7
Queen Street	8	NOx	329	165.3145634	8
Queen Street	8	NOx	329	164.2469183	9
Queen Street	8	NOx	329	163.7002336	10
Queen Street	8	NOx	329	163.4083668	11
Queen Street	8	NOx	329	163.2457579	12
Queen Street	8	NOx	329	163.1515544	13
Queen Street	8	NOx	329	163.0951594	14
Queen Street	8	NOx	329	163.0605194	15
Queen Street	8	NOx	329	163.0388317	16
Queen Street	8	NOx	329	163.0250666	17
Queen Street	8	NOx	329	163.0162467	18
Queen Street	8	NOx	329	163.0105587	19
