#Location	Time	Pollutant	Actual	Estimated	Pass	Distance
St Johns Road	1	NO	6	13.35403871	14	524288
St Johns Road	1	NO	6	0	15	1
St Johns Road	1	NO	6	45.09205834	15	1024
St Johns Road	1	NO	6	46.20215571	15	2048
St Johns Road	1	NO	6	46.41786929	15	4096
St Johns Road	1	NO	6	49.94725718	15	8192
St Johns Road	1	NO	6	49.83064999	15	16384
St Johns Road	1	NO	6	38.84374804	15	32768
St Johns Road	1	NO	6	27.36753266	15	65536
St Johns Road	1	NO	6	19.09267297	15	131072
St Johns Road	1	NO	6	14.86119252	15	262144
St Johns Road	1	NO	6	13.37596637	15	524288
St Johns Road	1	NO	6	0	16	1
St Johns Road	1	NO	6	45.09205834	16	1024
St Johns Road	1	NO	6	46.20215571	16	2048
St Johns Road	1	NO	6	46.4176589	16	4096
St Johns Road	1	NO	6	49.94327523	16	8192
St Johns Road	1	NO	6	50.1942548	16	16384
St Johns Road	1	NO	6	39.42741565	16	32768
St Johns Road	1	NO	6	27.7860307	16	65536
St Johns Road	1	NO	6	19.3670261	16	131072
St Johns Road	1	NO	6	14.95814786	16	262144
St Johns Road	1	NO	6	13.39820404	16	524288
St Johns Road	1	NO	6	0	17	1
St Johns Road	1	NO	6	45.09205834	17	1024
St Johns Road	1	NO	6	46.20215571	17	2048
St Johns Road	1	NO	6	46.41751417	17	4096
St Johns Road	1	NO	6	49.93726276	17	8192
St Johns Road	1	NO	6	50.50349323	17	16384
St Johns Road	1	NO	6	39.98186556	17	32768
St Johns Road	1	NO	6	28.17756905	17	65536
St Johns Road	1	NO	6	19.63343869	17	131072
St Johns Road	1	NO	6	15.05469586	17	262144
St Johns Road	1	NO	6	13.4207273	17	524288
St Johns Road	1	NO	6	0	18	1
St Johns Road	1	NO	6	45.09205834	18	1024
St Johns Road	1	NO	6	46.20215571	18	2048
St Johns Road	1	NO	6	46.41741466	18	4096
St Johns Road	1	NO	6	49.93042106	18	8192
St Johns Road	1	NO	6	50.7661745	18	16384
St Johns Road	1	NO	6	40.50998537	18	32768
St Johns Road	1	NO	6	28.54490572	18	65536
St Johns Road	1	NO	6	19.89215015	18	131072
St Johns Road	1	NO	6	15.15079093	18	262144
St Johns Road	1	NO	6	13.44351353	18	524288
St Johns Road	1	NO	6	0	19	1
St Johns Road	1	NO	6	45.09205834	19	1024
St Johns Road	1	NO	6	46.20215571	19	2048
St Johns Road	1	NO	6	46.41734626	19	4096
St Johns Road	1	NO	6	49.92345424	19	8192
St Johns Road	1	NO	6	50.98899752	19	16384
St Johns Road	1	NO	6	41.01406815	19	32768
St Johns Road	1	NO	6	28.89049677	19	65536
St Johns Road	1	NO	6	20.14339891	19	131072
St Johns Road	1	NO	6	15.24639452	19	262144
St Johns Road	1	NO	6	13.46654172	19	524288
St Johns Road	1	NO	6	0	20	1
St Johns Road	1	NO	6	45.09205834	20	1024
St Johns Road	1	NO	6	46.20215571	20	2048
St Johns Road	1	NO	6	46.41729924	20	4096
St Johns Road	1	NO	6	49.91675744	20	8192
St Johns Road	1	NO	6	51.17770997	20	16384
St Johns Road	1	NO	6	41.49596804	20	32768
St Johns Road	1	NO	6	29.21653041	20	65536
St Johns Road	1	NO	6	20.38742053	20	131072
St Johns Road	1	NO	6	15.34147407	20	262144
St Johns Road	1	NO	6	13.4897924	20	524288
St Johns Road	1	NO	6	0	21	1
St Johns Road	1	NO	6	45.09205834	21	1024
St Johns Road	1	NO	6	46.20215571	21	2048
St Johns Road	1	NO	6	46.41726693	21	4096
St Johns Road	1	NO	6	49.91053583	21	8192
St Johns Road	1	NO	6	51.33724368	21	16384
St Johns Road	1	NO	6	41.95721336	21	32768
St Johns Road	1	NO	6	29.52495716	21	65536
St Johns Road	1	NO	6	20.62444642	21	131072
St Johns Road	1	NO	6	15.43600214	21	262144
St Johns Road	1	NO	6	13.5132475	21	524288
St Johns Road	1	NO	6	0	22	1
St Johns Road	1	NO	6	45.09205834	22	1024
St Johns Road	1	NO	6	46.20215571	22	2048
St Johns Road	1	NO	6	46.41724472	22	4096
St Johns Road	1	NO	6	49.90487962	22	8192
St Johns Road	1	NO	6	51.4718302	22	16384
St Johns Road	1	NO	6	42.39908901	22	32768
St Johns Road	1	NO	6	29.81751647	22	65536
St Johns Road	1	NO	6	20.85470298	22	131072
St Johns Road	1	NO	6	15.52995574	22	262144
St Johns Road	1	NO	6	13.53689024	22	524288
St Johns Road	1	NO	6	0	23	1
St Johns Road	1	NO	6	45.09205834	23	1024
St Johns Road	1	NO	6	46.20215571	23	2048
St Johns Road	1	NO	6	46.41722946	23	4096
St Johns Road	1	NO	6	49.89981116	23	8192
St Johns Road	1	NO	6	51.58509981	23	16384
St Johns Road	1	NO	6	42.82269658	23	32768
St Johns Road	1	NO	6	30.09576025	23	65536
St Johns Road	1	NO	6	21.07841102	23	131072
St Johns Road	1	NO	6	15.62331566	23	262144
St Johns Road	1	NO	6	13.56070505	23	524288
St Johns Road	1	NO	6	0	24	1
St Johns Road	1	NO	6	45.09205834	24	1024
St Johns Road	1	NO	6	46.20215571	24	2048
St Johns Road	1	NO	6	46.41721897	24	4096
St Johns Road	1	NO	6	49.89531416	24	8192
St Johns Road	1	NO	6	51.68016648	24	16384
St Johns Road	1	NO	6	43.22899814	24	32768
St Johns Road	1	NO	6	30.36107369	24	65536
St Johns Road	1	NO	6	21.2957854	24	131072
St Johns Road	1	NO	6	15.71606595	24	262144
St Johns Road	1	NO	6	13.58467747	24	524288
St Johns Road	1	NO	6	0	25	1
St Johns Road	1	NO	6	45.09205834	25	1024
St Johns Road	1	NO	6	46.20215571	25	2048
St Johns Road	1	NO	6	46.41721176	25	4096
St Johns Road	1	NO	6	49.89135183	25	8192
St Johns Road	1	NO	6	51.75970076	25	16384
St Johns Road	1	NO	6	43.61884836	25	32768
St Johns Road	1	NO	6	30.61469365	25	65536
St Johns Road	1	NO	6	21.50703484	25	131072
St Johns Road	1	NO	6	15.80819348	25	262144
St Johns Road	1	NO	6	13.60879406	25	524288
St Johns Road	2	NO	7	0	0	1
St Johns Road	2	NO	7	15.5806318	0	1024
St Johns Road	2	NO	7	14.88633623	0	2048
St Johns Road	2	NO	7	13.29782156	0	4096
St Johns Road	2	NO	7	11.60869148	0	8192
St Johns Road	2	NO	7	10.44659331	0	16384
St Johns Road	2	NO	7	9.803479085	0	32768
St Johns Road	2	NO	7	9.473818554	0	65536
St Johns Road	2	NO	7	9.308285415	0	131072
St Johns Road	2	NO	7	9.225530109	0	262144
St Johns Road	2	NO	7	9.184179762	0	524288
St Johns Road	2	NO	7	0	1	1
St Johns Road	2	NO	7	16.42216512	1	1024
St Johns Road	2	NO	7	16.59224606	1	2048
St Johns Road	2	NO	7	15.86510827	1	4096
St Johns Road	2	NO	7	14.70311227	1	8192
St Johns Road	2	NO	7	12.97053024	1	16384
St Johns Road	2	NO	7	11.32683257	1	32768
St Johns Road	2	NO	7	10.26088169	1	65536
St Johns Road	2	NO	7	9.696571301	1	131072
St Johns Road	2	NO	7	9.416436528	1	262144
St Johns Road	2	NO	7	9.278558853	1	524288
St Johns Road	2	NO	7	0	2	1
St Johns Road	2	NO	7	16.42295229	2	1024
St Johns Road	2	NO	7	16.67195294	2	2048
St Johns Road	2	NO	7	16.40750092	2	4096
St Johns Road	2	NO	7	15.752841	2	8192
St Johns Road	2	NO	7	14.26137753	2	16384
St Johns Road	2	NO	7	12.27406513	2	32768
St Johns Road	2	NO	7	10.6449737	2	65536
St Johns Road	2	NO	7	9.782609904	2	131072
St Johns Road	2	NO	7	9.415983764	2	262144
St Johns Road	2	NO	7	9.265259669	2	524288
St Johns Road	2	NO	7	0	3	1
St Johns Road	2	NO	7	16.42295261	3	1024
St Johns Road	2	NO	7	16.67657415	3	2048
St Johns Road	2	NO	7	16.58105846	3	4096
St Johns Road	2	NO	7	16.31324252	3	8192
St Johns Road	2	NO	7	15.00917888	3	16384
St Johns Road	2	NO	7	12.9856118	3	32768
St Johns Road	2	NO	7	11.01171516	3	65536
St Johns Road	2	NO	7	9.88325087	3	131072
St Johns Road	2	NO	7	9.422615388	3	262144
St Johns Road	2	NO	7	9.254195663	3	524288
St Johns Road	2	NO	7	0	4	1
St Johns Road	2	NO	7	16.42295254	4	1024
St Johns Road	2	NO	7	16.67690186	4	2048
St Johns Road	2	NO	7	16.6394072	4	4096
St Johns Road	2	NO	7	16.66115247	4	8192
St Johns Road	2	NO	7	15.49609647	4	16384
St Johns Road	2	NO	7	13.52610244	4	32768
St Johns Road	2	NO	7	11.35034722	4	65536
St Johns Road	2	NO	7	9.992696912	4	131072
St Johns Road	2	NO	7	9.435136214	4	262144
St Johns Road	2	NO	7	9.245181134	4	524288
St Johns Road	2	NO	7	0	5	1
St Johns Road	2	NO	7	16.42295253	5	1024
St Johns Road	2	NO	7	16.67694734	5	2048
St Johns Road	2	NO	7	16.66044267	5	4096
St Johns Road	2	NO	7	16.88619102	5	8192
St Johns Road	2	NO	7	15.84573897	5	16384
St Johns Road	2	NO	7	13.94390193	5	32768
St Johns Road	2	NO	7	11.65798618	5	65536
St Johns Road	2	NO	7	10.10686666	5	131072
St Johns Road	2	NO	7	9.452533731	5	262144
St Johns Road	2	NO	7	9.238044948	5	524288
St Johns Road	2	NO	7	0	6	1
St Johns Road	2	NO	7	16.42295253	6	1024
St Johns Road	2	NO	7	16.67696046	6	2048
St Johns Road	2	NO	7	16.66892213	6	4096
St Johns Road	2	NO	7	17.03412236	6	8192
St Johns Road	2	NO	7	16.11589712	6	16384
St Johns Road	2	NO	7	14.27316217	6	32768
St Johns Road	2	NO	7	11.93541342	6	65536
St Johns Road	2	NO	7	10.22291271	6	131072
St Johns Road	2	NO	7	9.473950789	6	262144
St Johns Road	2	NO	7	9.232629414	6	524288
St Johns Road	2	NO	7	0	7	1
St Johns Road	2	NO	7	16.42295253	7	1024
St Johns Road	2	NO	7	16.6769653	7	2048
St Johns Road	2	NO	7	16.67287521	7	4096
St Johns Road	2	NO	7	17.13254863	7	8192
St Johns Road	2	NO	7	16.33490408	7	16384
St Johns Road	2	NO	7	14.5378238	7	32768
St Johns Road	2	NO	7	12.18494992	7	65536
St Johns Road	2	NO	7	10.33887294	7	131072
St Johns Road	2	NO	7	9.49866234	7	262144
St Johns Road	2	NO	7	9.228789244	7	524288
St Johns Road	2	NO	7	0	8	1
St Johns Road	2	NO	7	16.42295253	8	1024
St Johns Road	2	NO	7	16.67696717	8	2048
St Johns Road	2	NO	7	16.67500415	8	4096
St Johns Road	2	NO	7	17.19888953	8	8192
St Johns Road	2	NO	7	16.51759914	8	16384
St Johns Road	2	NO	7	14.75480145	8	32768
St Johns Road	2	NO	7	12.40941164	8	65536
St Johns Road	2	NO	7	10.45341847	8	131072
St Johns Road	2	NO	7	9.526055628	8	262144
St Johns Road	2	NO	7	9.226390593	8	524288
St Johns Road	2	NO	7	0	9	1
St Johns Road	2	NO	7	16.42295253	9	1024
St Johns Road	2	NO	7	16.67696789	9	2048
St Johns Road	2	NO	7	16.67628293	9	4096
St Johns Road	2	NO	7	17.24428577	9	8192
St Johns Road	2	NO	7	16.67248741	9	16384
St Johns Road	2	NO	7	14.93617795	9	32768
St Johns Road	2	NO	7	12.61161951	9	65536
St Johns Road	2	NO	7	10.56567164	9	131072
St Johns Road	2	NO	7	9.555613334	9	262144
St Johns Road	2	NO	7	9.225310179	9	524288
St Johns Road	2	NO	7	0	10	1
St Johns Road	2	NO	7	16.42295253	10	1024
St Johns Road	2	NO	7	16.67696818	10	2048
St Johns Road	2	NO	7	16.67710397	10	4096
St Johns Road	2	NO	7	17.27590267	10	8192
St Johns Road	2	NO	7	16.80498064	10	16384
St Johns Road	2	NO	7	15.09067322	10	32768
St Johns Road	2	NO	7	12.79418927	10	65536
St Johns Road	2	NO	7	10.67507477	10	131072
St Johns Road	2	NO	7	9.586899217	10	262144
St Johns Road	2	NO	7	9.22543446	10	524288
St Johns Road	2	NO	7	0	11	1
St Johns Road	2	NO	7	16.42295253	11	1024
St Johns Road	2	NO	7	16.67696829	11	2048
St Johns Road	2	NO	7	16.67765011	11	4096
St Johns Road	2	NO	7	17.2983678	11	8192
St Johns Road	2	NO	7	16.91888228	11	16384
St Johns Road	2	NO	7	15.22463416	11	32768
St Johns Road	2	NO	7	12.95945898	11	65536
St Johns Road	2	NO	7	10.78129563	11	131072
St Johns Road	2	NO	7	9.619545902	11	262144
St Johns Road	2	NO	7	9.22665888	11	524288
St Johns Road	2	NO	7	0	12	1
St Johns Road	2	NO	7	16.42295253	12	1024
St Johns Road	2	NO	7	16.67696833	12	2048
St Johns Road	2	NO	7	16.67801976	12	4096
St Johns Road	2	NO	7	17.31468296	12	8192
St Johns Road	2	NO	7	17.01708305	12	16384
St Johns Road	2	NO	7	15.34271328	12	32768
St Johns Road	2	NO	7	13.10948111	12	65536
St Johns Road	2	NO	7	10.88415951	12	131072
St Johns Road	2	NO	7	9.653244474	12	262144
St Johns Road	2	NO	7	9.228887177	12	524288
St Johns Road	2	NO	7	0	13	1
St Johns Road	2	NO	7	16.42295253	13	1024
St Johns Road	2	NO	7	16.67696835	13	2048
St Johns Road	2	NO	7	16.67827203	13	4096
St Johns Road	2	NO	7	17.32680597	13	8192
St Johns Road	2	NO	7	17.10189907	13	16384
St Johns Road	2	NO	7	15.44834198	13	32768
St Johns Road	2	NO	7	13.24604261	13	65536
St Johns Road	2	NO	7	10.98360052	13	131072
St Johns Road	2	NO	7	9.687735635	13	262144
St Johns Road	2	NO	7	9.232030737	13	524288
St Johns Road	2	NO	7	0	14	1
St Johns Road	2	NO	7	16.42295253	14	1024
St Johns Road	2	NO	7	16.67696835	14	2048
St Johns Road	2	NO	7	16.67844485	14	4096
St Johns Road	2	NO	7	17.3360226	14	8192
St Johns Road	2	NO	7	17.1752464	14	16384
St Johns Road	2	NO	7	15.54406559	14	32768
St Johns Road	2	NO	7	13.37069474	14	65536
St Johns Road	2	NO	7	11.07962681	14	131072
St Johns Road	2	NO	7	9.722802169	14	262144
St Johns Road	2	NO	7	9.236008002	14	524288
St Johns Road	2	NO	7	0	15	1
St Johns Road	2	NO	7	16.42295253	15	1024
St Johns Road	2	NO	7	16.67696835	15	2048
St Johns Road	2	NO	7	16.67856344	15	4096
St Johns Road	2	NO	7	17.34318474	15	8192
St Johns Road	2	NO	7	17.23873916	15	16384
St Johns Road	2	NO	7	15.63178301	15	32768
St Johns Road	2	NO	7	13.4847844	15	65536
St Johns Road	2	NO	7	11.17229577	15	131072
St Johns Road	2	NO	7	9.75826254	15	262144
St Johns Road	2	NO	7	9.240743921	15	524288
St Johns Road	2	NO	7	0	16	1
St Johns Road	2	NO	7	16.42295253	16	1024
St Johns Road	2	NO	7	16.67696836	16	2048
St Johns Road	2	NO	7	16.67864489	16	4096
St Johns Road	2	NO	7	17.34886309	16	8192
St Johns Road	2	NO	7	17.29375073	16	16384
St Johns Road	2	NO	7	15.71291969	16	32768
St Johns Road	2	NO	7	13.58948322	16	65536
St Johns Road	2	NO	7	11.2616965	16	131072
St Johns Road	2	NO	7	9.793965441	16	262144
St Johns Road	2	NO	7	9.246169447	16	524288
St Johns Road	2	NO	7	0	17	1
St Johns Road	2	NO	7	16.42295253	17	1024
St Johns Road	2	NO	7	16.67696836	17	2048
St Johns Road	2	NO	7	16.67870086	17	4096
St Johns Road	2	NO	7	17.35344519	17	8192
St Johns Road	2	NO	7	17.34145587	17	16384
St Johns Road	2	NO	7	15.78855306	17	32768
St Johns Road	2	NO	7	13.68581306	17	65536
St Johns Road	2	NO	7	11.3479375	17	131072
St Johns Road	2	NO	7	9.82978516	17	262144
St Johns Road	2	NO	7	9.252221067	17	524288
St Johns Road	2	NO	7	0	18	1
St Johns Road	2	NO	7	16.42295253	18	1024
St Johns Road	2	NO	7	16.67696836	18	2048
St Johns Road	2	NO	7	16.67873931	18	4096
St Johns Road	2	NO	7	17.35719854	18	8192
St Johns Road	2	NO	7	17.38286237	18	16384
St Johns Road	2	NO	7	15.859504	18	32768
St Johns Road	2	NO	7	13.77466792	18	65536
St Johns Road	2	NO	7	11.43113799	18	131072
St Johns Road	2	NO	7	9.86561764	18	262144
St Johns Road	2	NO	7	9.258840375	18	524288
St Johns Road	2	NO	7	0	19	1
St Johns Road	2	NO	7	16.42295253	19	1024
St Johns Road	2	NO	7	16.67696836	19	2048
St Johns Road	2	NO	7	16.67876574	19	4096
St Johns Road	2	NO	7	17.36031128	19	8192
St Johns Road	2	NO	7	17.41883609	19	16384
St Johns Road	2	NO	7	15.92640361	19	32768
St Johns Road	2	NO	7	13.85683237	19	65536
St Johns Road	2	NO	7	11.51142204	19	131072
St Johns Road	2	NO	7	9.901377132	19	262144
St Johns Road	2	NO	7	9.265973673	19	524288
St Johns Road	2	NO	7	0	20	1
St Johns Road	2	NO	7	16.42295253	20	1024
St Johns Road	2	NO	7	16.67696836	20	2048
St Johns Road	2	NO	7	16.6787839	20	4096
St Johns Road	2	NO	7	17.36291854	20	8192
St Johns Road	2	NO	7	17.45012167	20	16384
St Johns Road	2	NO	7	15.98974223	20	32768
