55948703,-3206471,2,-99
55948349,-3206388,6,-91
55948010,-3206318,5,-90
55948010,-3206318,1,-97
55947704,-3206217,5,-93
55947704,-3206217,36,-84
55947351,-3206071,1,-81
55947351,-3206071,108,-86
55946032,-3205560,10,-90
55946032,-3205560,6,-94
55945203,-3205258,7,-96
55945203,-3205258,1,-95
55945205,-3205311,6,-91
55945205,-3205311,6,-84
55945205,-3205311,6,-88
55944720,-3205189,1,-93
55944720,-3205189,1,-95
55943992,-3206732,6,-96
55943262,-3208529,124,-87
55943075,-3209739,6,-96
55942975,-3210130,11,-97
55942878,-3210656,6,-97
55942844,-3210842,11,-103
55942748,-3211193,6,-100
55942625,-3211650,11,-98
55942494,-3212167,11,-95
55939876,-3219725,11,-89
55939640,-3222590,5,-94
55939145,-3223254,1,-92
55938906,-3223563,11,-95
55938705,-3223828,1,-83
55938705,-3223828,1,-95
55938666,-3223873,6,-93
55938666,-3223873,4,-95
55938666,-3223873,6,-95
55937380,-3226013,11,-86
55937380,-3226013,1,-94
55937380,-3226013,11,-88
55935425,-3230538,11,-94
55935425,-3230538,11,-91
55934336,-3232862,1,-96
55933756,-3234124,11,-87
55933756,-3234124,11,-98
55933756,-3234124,11,-85
55933756,-3234124,11,-87
55933590,-3234456,11,-96
55933590,-3234456,11,-96
55933549,-3234536,7,-82
55933549,-3234536,1,-101
55933549,-3234536,7,-88
55933549,-3234536,1,-98
55933518,-3234611,11,-95
55933469,-3234728,11,-79
55933469,-3234728,11,-85
55933264,-3235152,1,-94
55933264,-3235152,124,-88
55933059,-3235513,5,-75
55932846,-3235866,11,-89
55932846,-3235866,11,-99
55932333,-3236606,6,-86
55932333,-3236606,6,-85
55930949,-3238175,1,-94
55930949,-3238175,1,-94
55930808,-3238344,11,-88
55930808,-3238344,11,-84
55930727,-3238479,6,-96
55930472,-3238812,6,-93
55930472,-3238812,6,-92
55929902,-3239560,10,-93
55929902,-3239560,10,-95
55929621,-3239893,11,-96
55929621,-3239893,6,-95
55928936,-3240642,11,-94
55928655,-3240942,11,-99
55928655,-3240942,11,-97
55927385,-3242607,1,-88
55927040,-3243841,1,-83
55927040,-3243841,11,-90
55927040,-3243841,1,-86
55927129,-3245753,1,-104
55927382,-3247296,1,-95
55927420,-3247344,6,-87
55927593,-3247608,1,-95
55927914,-3247576,6,-98
55928553,-3247362,3,-95
55928785,-3247928,3,-89
55928989,-3248679,1,-97
55928989,-3248679,1,-98
55929247,-3249525,11,-94
55929247,-3249525,11,-89
55930842,-3253574,6,-91
55930673,-3254070,11,-102
55930673,-3254070,11,-96
55929791,-3257050,6,-91
55929791,-3257050,6,-91
55931459,-3251653,11,-92
55931764,-3250755,1,-93
55931764,-3250755,11,-96
55931764,-3250755,11,-96
55931764,-3250755,1,-93
55932430,-3248481,6,-91
55932430,-3248481,6,-90
55932639,-3247678,1,-86
55932639,-3247678,11,-96
55932639,-3247678,11,-95
55932639,-3247678,1,-88
55933033,-3246457,1,-94
55934457,-3243950,11,-92
55935688,-3242010,11,-93
55935688,-3242010,11,-94
55936189,-3241044,1,-96
55936360,-3240591,1,-98
55936360,-3240591,1,-93
55936432,-3240328,11,-93
55937443,-3234183,1,-99
55937518,-3233945,1,-84
55937885,-3232089,7,-93
55937885,-3232089,7,-94
55939166,-3226736,7,-92
55939166,-3226736,7,-93
55939818,-3225466,6,-91
55939818,-3225466,6,-93
55940442,-3224556,4,-91
55940766,-3224117,11,-88
55940766,-3224117,11,-91
