#o3_ppb	temp	humid	time
1.14	4.3	76.8	2014-02-03T21:03:00
1.06	4.3	77	2014-02-03T21:02:00
1.02	4.3	77.1	2014-02-03T21:01:00
0.895	4.3	77.1	2014-02-03T21:00:00
0.758	4.3	77.1	2014-02-03T20:59:00
0.557	4.3	77.1	2014-02-03T20:58:00
0.413	4.3	77.1	2014-02-03T20:57:00
0.3	4.3	77.1	2014-02-03T20:56:00
0.238	4.3	77.1	2014-02-03T20:55:00
0.2	4.3	77.1	2014-02-03T20:54:00
0.175	4.3	77.1	2014-02-03T20:53:00
0.102	4.3	76.8	2014-02-03T20:52:00
0.24	4.3	76.6	2014-02-03T20:51:00
0.185	4.3	76.6	2014-02-03T20:50:00
0.0483	4.3	76.6	2014-02-03T20:49:00
0.157	4.3	76.6	2014-02-03T20:48:00
0.677	4.3	76.6	2014-02-03T20:47:00
0.928	4.3	76.6	2014-02-03T20:46:00
0.243	4.3	76.6	2014-02-03T20:45:00
0.372	4.3	76.6	2014-02-03T20:44:00
0.308	4.3	76.6	2014-02-03T20:43:00
0.387	4.3	76.5	2014-02-03T20:42:00
0.615	4.3	76.4	2014-02-03T20:41:00
0.768	4.3	76.4	2014-02-03T20:40:00
0.733	4.3	76.4	2014-02-03T20:39:00
0.755	4.3	76.4	2014-02-03T20:38:00
0.843	4.3	76.4	2014-02-03T20:37:00
0.995	4.3	76.4	2014-02-03T20:36:00
1.1	4.3	76.4	2014-02-03T20:35:00
1.1	4.3	76.4	2014-02-03T20:34:00
1.15	4.3	76.4	2014-02-03T20:33:00
1.19	4.3	76.8	2014-02-03T20:32:00
1.2	4.3	77.1	2014-02-03T20:31:00
1.23	4.3	77.1	2014-02-03T20:30:00
1.08	4.3	77.1	2014-02-03T20:29:00
1.11	4.3	77.1	2014-02-03T20:28:00
1.03	4.3	77.1	2014-02-03T20:27:00
1.04	4.3	77.1	2014-02-03T20:26:00
0.83	4.3	77.1	2014-02-03T20:25:00
0.918	4.3	77.1	2014-02-03T20:24:00
0.9	4.3	77.1	2014-02-03T20:23:00
0.778	4.3	76.9	2014-02-03T20:22:00
0.503	4.3	76.8	2014-02-03T20:21:00
0.597	4.3	76.8	2014-02-03T20:20:00
0.693	4.3	76.8	2014-02-03T20:19:00
0.445	4.3	76.8	2014-02-03T20:18:00
0.265	4.3	76.8	2014-02-03T20:17:00
0.235	4.3	76.8	2014-02-03T20:16:00
0.322	4.3	76.8	2014-02-03T20:15:00
0.367	4.3	76.8	2014-02-03T20:14:00
0.247	4.3	76.8	2014-02-03T20:13:00
0.317	4.18	76.7	2014-02-03T20:12:00
0.307	4.1	76.7	2014-02-03T20:11:00
0.438	4.1	76.7	2014-02-03T20:10:00
0.705	4.1	76.7	2014-02-03T20:09:00
0.382	4.1	76.7	2014-02-03T20:08:00
0.6	4.1	76.7	2014-02-03T20:07:00
0.923	4.1	76.7	2014-02-03T20:06:00
1.35	4.1	76.7	2014-02-03T20:05:00
1.73	4.1	76.7	2014-02-03T20:04:00
1.79	4.1	76.7	2014-02-03T20:03:00
1.76	4.22	76.4	2014-02-03T20:02:00
1.73	4.3	76.2	2014-02-03T20:01:00
2.14	4.3	76.2	2014-02-03T20:00:00
1.9	4.3	76.2	2014-02-03T19:59:00
2.9	4.3	76.2	2014-02-03T19:58:00
2.79	4.3	76.2	2014-02-03T19:57:00
