#timestamp	ozone_ppb	temperature	humidity	latitude	longitude
1391252762.282	26.54864081	3	62	4722.53304	832.00251
1391252758.304	11.21583465	16	45	4722.40844	831.28981
1391252754.333	19.17599291	4	61	4722.59971	832.61199
1391252754.232	23.53925252	15	50	4723.71675	832.6297
1391252750.192	12.5316182	5	57	4724.63171	832.75668
1391252749.252	34.30173726	3	62	4723.8076	829.80854
1391252744.212	34.86336332	3	61	4722.58056	832.37855
1391252732.179	26.54864081	3	62	4722.41445	831.8983
1391252728.294	11.21583465	16	45	4722.40866	831.2894
1391252724.355	18.72024796	4	63	4722.61584	832.5485
1391252724.249	23.53925252	15	50	4723.71523	832.62888
1391252723.931	34.30173726	3	62	4723.7742	829.86633
1391252720.203	12.5316182	5	57	4724.61685	832.81021
1391252714.212	34.86336332	3	61	4722.56377	832.36646
1391252703.309	27.63175134	2	62	4722.64539	833.17315
1391252702.301	26.66966452	3	62	4722.4173	831.82131
1391252698.291	11.21583465	16	45	4722.41018	831.28812
1391252694.380	18.72024796	4	63	4722.6462	832.50236
1391252693.409	23.53925252	15	50	4723.71085	832.63033
1391252689.263	12.58169521	4	58	4724.6187	832.81233
1391252689.240	34.19295993	3	63	4723.66738	830.12228
1391252684.202	34.53719585	3	60	4722.53177	832.34591
1391252672.228	26.66966452	3	62	4722.41828	831.8005
1391252668.275	11.21583465	16	45	4722.41178	831.28758
1391252664.392	18.07273549	3	63	4722.65079	832.50365
1391252663.349	23.53925252	15	50	4723.70876	832.63019
1391252660.198	12.58169521	4	58	4724.61883	832.81379
1391252659.301	34.19295993	3	63	4723.65454	830.25482
1391252654.241	34.53719585	3	60	4722.44769	832.3156
1391252643.293	27.63175134	2	62	4722.6457	833.17277
1391252642.397	26.73017638	3	61	4722.41806	831.79986
1391252638.340	11.43508222	17	45	4722.4138	831.28696
1391252634.312	18.07273549	3	63	4722.65128	832.50369
1391252633.331	23.53925252	15	50	4723.70694	832.62682
1391252630.232	33.92520033	3	63	4723.63995	830.32036
1391252629.349	12.482546	4	58	4724.61895	832.82858
1391252624.211	33.95734256	3	59	4722.38553	832.29463
1391252612.200	26.73017638	3	61	4722.41754	831.79844
1391252608.386	11.43508222	17	45	4722.41518	831.28647
1391252604.247	17.73769505	3	63	4722.66215	832.50356
1391252600.232	33.92520033	3	63	4723.63151	830.46833
1391252599.281	12.482546	4	58	4724.64419	833.00722
1391252594.222	33.95734256	3	59	4722.3805	832.29875
1391252583.276	27.63175134	2	61	4722.64605	833.17206
1391252582.361	26.18556965	3	61	4722.40493	831.73172
1391252578.285	11.21583465	16	45	4722.41766	831.28973
1391252574.320	17.73769505	3	63	4722.71051	832.46073
1391252574.258	23.53925252	15	50	4723.70521	832.62662
1391252569.270	12.482546	4	58	4724.66324	833.01233
1391252569.207	34.04234516	3	63	4723.629	830.55528
1391252564.213	34.60967751	3	59	4722.27426	832.32653
1391252552.209	26.18556965	3	61	4722.40752	831.64039
1391252548.636	11.21583465	16	45	4722.4163	831.29163
1391252544.209	23.53925252	15	50	4723.70388	832.62176
1391252544.200	17.40265461	3	65	4722.73375	832.35717
1391252540.272	34.04234516	3	63	4723.61966	830.74119
1391252539.233	12.482546	4	58	4724.80335	833.04331
