#timestamp.	ozone_ppb	temperature	humidity	latitude	longitude
1392422119.182	12.3396667	2	64	4724.57766	832.77933
1392422106.560	32.75435455	12	52	4723.47797	831.30927
1392422100.217	13.67912362	6	66	4723.49137	831.29998
1392422092.563	14.36906774	3	63	4722.4143	831.77102
1392422089.251	23.79838277	5	83	4722.41355	831.29714
1392422089.225	12.3396667	2	64	4724.48993	832.80457
1392422076.772	32.74522982	11	52	4723.47622	831.31139
1392422070.167	13.67912362	6	66	4723.49642	831.29942
1392422062.940	14.36906774	3	63	4722.42527	831.81563
1392422060.325	23.79838277	5	83	4722.41182	831.30088
1392422059.219	12.3396667	2	64	4724.38635	832.89725
1392422046.535	32.74522982	11	52	4723.47331	831.31092
1392422040.195	13.79770969	6	67	4723.49585	831.29297
1392422032.587	14.72706416	3	65	4722.41719	831.90663
1392422029.179	23.82190851	5	84	4722.40682	831.30589
1392422029.172	12.33725958	3	65	4724.36078	832.90588
1392422016.419	32.75435455	12	52	4723.47234	831.30777
1392422010.200	13.79770969	6	67	4723.46617	831.29455
1392422002.350	14.72706416	3	65	4722.52561	831.99559
1392421999.199	23.82190851	5	84	4722.41149	831.30554
1392421999.175	12.33725958	3	65	4724.2367	832.89024
1392421986.415	32.75435455	12	52	4723.47796	831.30349
1392421980.401	13.81062849	5	67	4723.47175	831.29593
1392421972.385	14.99556148	3	65	4722.57354	832.05109
1392421970.179	23.80606992	4	84	4722.41547	831.30282
1392421969.211	12.33725958	3	65	4724.21842	832.8772
1392421956.339	32.74433685	12	52	4723.49074	831.29924
1392421950.210	13.81062849	5	67	4723.47618	831.29827
1392421942.263	14.99556148	3	65	4722.58888	832.09899
1392421939.196	23.80606992	4	84	4722.41093	831.29647
1392421939.182	12.33725958	3	65	4724.09557	832.72901
1392421926.582	32.74433685	12	52	4723.48482	831.29888
1392421920.258	13.92686639	5	69	4723.47433	831.29561
1392421917.344	14.99556148	3	65	4722.55637	832.18721
1392421909.235	12.28866662	3	65	4724.01477	832.61192
1392421909.187	23.85218973	4	84	4722.4054	831.29635
1392421896.402	32.74433685	12	52	4723.48043	831.29901
1392421890.232	13.92686639	5	69	4723.47773	831.29588
1392421882.449	15.89055254	3	65	4722.5602	832.24034
1392421880.183	23.85218973	4	84	4722.40505	831.29575
1392421879.235	12.28866662	3	65	4723.95902	832.56817
1392421866.361	32.74433685	12	52	4723.48384	831.2992
1392421860.587	13.94389085	2	67	4723.47394	831.29752
1392421852.276	15.89055254	3	65	4722.5907	832.2661
1392421849.241	23.87524964	4	83	4722.40373	831.29297
1392421849.177	12.24007366	3	66	4723.8803	832.52345
1392421836.316	32.73541048	11	52	4723.47267	831.29725
1392421830.227	13.94389085	2	67	4723.47552	831.30557
1392421822.313	16.60654538	3	64	4722.63804	832.34553
1392421819.258	23.87524964	4	83	4722.41008	831.2924
